Time;Value;Filtered
19:18;-8,666666667;-4,333333333
19:18;-62,66666667;-44,62542955
19:19;40,33333333;35,56239547
19:19;-84,66666667;-81,13249007
19:20;-38,66666667;-39,53957687
19:21;-33,66666667;-33,98213282
19:21;-35,66666667;-35,26263022
19:22;65955,33333;36914,62951
19:22;65818,33333;65816,37794
19:23;65772,33333;65772,33714
19:23;66170,33333;66150,04421
19:24;68641,33333;68625,05379
19:25;70785,33333;70783,15563
19:25;23942,33333;23996,46957
19:26;-106,6666667;-105,3788771
19:26;-27,66666667;-27,67472581
19:27;29,33333333;27,61007528
19:27;-1,666666667;-0,451041512
19:28;-44,66666667;-41,31265944
19:28;73,33333333;67,05782283
19:29;-77,66666667;-74,4714039
19:30;3,333333333;2,005372045
19:30;8835,333333;8564,1531
19:31;65783,33333;65766,63592
19:31;65645,33333;65645,33863
19:32;65678,33333;65677,68022
19:32;67412,33333;67296,04508
19:33;62609,33333;62616,55167
19:34;64643,33333;64642,25169
19:34;58856,33333;58863,4564
19:35;39,33333333;64,75961115
19:35;37,33333333;37,33449934
19:36;312256,3333;288183,9397
19:36;332876,3333;332875,9456
19:37;346980,3333;346979,5444
19:38;338105,3333;338106,9058
19:38;52,33333333;147,5316748
19:39;-42,66666667;-42,66525973
19:39;6,333333333;5,705779962
