Time;Value;Filtered
13:07;41,888;20,944
13:07;-0,111;2,02
13:08;41,888;37,678
13:09;46,888;46,318
13:09;115,888;102,992
13:10;37,888;40,547
13:10;-112,111;-106,443
13:11;-53,111;-53,988
13:11;-20,111;-21,586
13:12;-38,111;-37,003
13:12;-37,111;-37,097
13:13;-31,111;-34,238
13:14;24,888;2,332
13:14;17,888;16,931
13:15;-20,111;-15,348
13:16;63067,888;58800,725
13:16;65285,888;65285,613
13:17;65309,888;65309,879
13:17;65273,888;65276,963
13:18;65226,888;65230,209
13:18;65261,888;65260,353
13:19;65261,888;65261,779
13:20;65243,888;65251,048
13:20;65231,888;65235,14
13:21;65266,888;65263,014
13:21;65222,888;65225,968
13:22;65257,888;65255,982
13:22;65226,888;65228,975
13:23;65127,888;65135,828
13:24;65237,888;65235,283
13:24;65169,888;65171,454
13:25;65199,888;65198,855
13:25;72825,888;72235,731
13:26;26921,888;26937,976
13:26;-1,111;0,375
13:27;17,888;17,887
13:27;-6,111;-3,445
13:28;-61,111;-55,578
13:29;29,888;26,133
13:29;-22,111;-20,718
